Stock Name,Basic Industry,Sector,Company Name
BGRENERGY,Civil Construction,Construction,BGR Energy Systems Limited
INDOTHAI,Investment Banking & Broking,Financial Services,Indo Thai Securities Limited
IFBAGRO,Breweries & Distilleries,FMCG,IFB Agro Industries Limited
CUPID,Personal Care,FMCG,Cupid Limited
IZMO,Software Services,Information Technology,IZMO Limited
MAHASTEEL,Iron & Steel,Metals & Mining,Mahamaya Steel Industries Limited
LUMAXIND,Auto Ancilaries,Auto,Lumax Industries Limited
LUMAXTECH,Auto Ancilaries,Auto,Lumax Auto Technologies Limited
TERASOFT,Software Services,Information Technology,Tera Software Limited
NORBTEAEXP,Tea & Coffee,FMCG,Norben Tea & Exports Limited
MEGASOFT,Other Telecom Services,Telecommunication,Megasoft Limited
VENUSREM,Medical-Diversified,Healthcare,Venus Remedies Limited
SOMATEX,Textiles,Textiles,Soma Textiles & Industries Limited
SMLMAH,Auto Manufacturers,Auto,SML Isuzu Limited
TAKE,Healthcare Research Analytics & Technology,Healthcare,Take Solutions Limited
GAYAHWS,Civil Construction,Construction,Gayatri Highways Limited
VCL,Textiles,Textiles,Vaxtex Cotfab Limited
SABTNL,TV Broadcasting & Software,Media Entertainment & Publication,Sri Adhikari Brothers Television Network Limited
SWANDEF,Ship building & Allied services,Capital Goods,Swan Defence and Heavy Industries Limited
STALLION,Chemicals Specialty,Chemicals,Stallion India Fluorochemicals Limited
CURAA,Software Services,Information Technology,Cura Technologies Limited
EASTSILK,Textiles,Textiles,EASTERN SILK INDUSTRIES LIMITED
ASHAPURMIN,Mining/Minerals,Metals & Mining,Ashapura Minechem Limited
ABCAPITAL,Finance & Investment,Financial Services,Aditya Birla Capital Limited
BAFNAPH,Pharmaceuticals,Healthcare,Bafna Pharmaceuticals Limited
FORCEMOT,Auto Manufacturers,Auto,FORCE MOTORS LTD
IMFA,Iron & Steel,Metals & Mining,Indian Metals & Ferro Alloys Limited
INFOBEAN,Software Products,Information Technology,InfoBeans Technologies Limited
INDLMETER,Electrical - Power Equipment,Capital Goods,IMP Powers Limited
JAYNECOIND,Iron & Steel,Metals & Mining,Jayaswal Neco Industries Limited
SBC,Textiles,Textiles,SBC Exports Limited
PROZONER,Real Estate,Realty,Prozone Realty Limited
LOTUSEYE,Hospitals,Healthcare,Lotus Eye Hospital and Institute Limited
TATVA,Chemicals-Basic,Chemicals,Tatva Chintan Pharma Chem Limited
JINDALPHOT,Finance & Investment,Financial Services,Jindal Photo Limited
ZOTA,Medical-Diversified,Healthcare,Zota Health Care LImited
SKMEGGPROD,Food Products,FMCG,SKM Egg Products Export (India) Limited
YATRA,Tour & Travel services,Consumer Services,Yatra Online Limited
LTF,Finance & Investment,Financial Services,L&T Finance Limited
RELIABLE,Software Services,Information Technology,Reliable Data Services Limited
RPEL,Industrial Products & Manufacturing,Capital Goods,Raghav Productivity Enhancers Limited
KMEW,Ship building & Allied services,Capital Goods,Knowledge Marine & Engineering Works Limited
ATHERENERG,Auto Manufacturers,Auto,Ather Energy Limited
LEMERITE,Textiles,Textiles,Le Merite Exports Limited
AUBANK,Private Banks,Financial Services,AU Small Finance Bank Limited
BHAGYANGR,Electrical - Power Equipment,Capital Goods,Bhagyanagar India Limited
ARSSINFRA,Civil Construction,Construction,ARSS Infrastructure Projects Limited
GRMOVER,Food Products,FMCG,GRM Overseas Limited
ATALREAL,Construction Residential & Commercial,Realty,Atal Realtech Limited
DREDGECORP,Real Estate,Realty,Dredging Corporation of India Limited
MUTHOOTFIN,NBFC,Financial Services,Muthoot Finance Limited
PRIVISCL,Chemicals Specialty,Chemicals,Privi Speciality Chemicals Limited
KRISHANA,Chemicals Specialty,Chemicals,Krishana Phoschem Limited
POCL,Mining/Minerals,Metals & Mining,Pondy Oxides & Chemicals Limited
IDEA,Telecom - Cellular & Fixed line services,Telecommunication,Vodafone Idea Limited
MCX,Financial Services-Specialty,Financial Services,Multi Commodity Exchange of India Limited
RAMCOSYS,Software Products,Information Technology,Ramco Systems Limited
SEJALLTD,Glass,Capital Goods,Sejal Glass Limited
SAMBHAAV,Electronic Media,Media Entertainment & Publication,Sambhaav Media Limited
SUMEETINDS,Textiles,Textiles,Sumeet Industries Limited
THANGAMAYL,Jewellery,Consumer Durables,Thangamayil Jewellery Limited
GARUDA,Civil Construction,Construction,Garuda Construction and Engineering Limited
ABINFRA,Civil Construction,Construction,A B Infrabuild Limited
ARFIN,Metal Fabrication,Metals & Mining,Arfin India Limited
RMDRIP,Chemicals-Plastics,Chemicals,R M Drip and Sprinklers Systems Limited
MWL,Iron & Steel,Metals & Mining,Mangalam Worldwide Limited
EPACKPEB,Industrial Products & Manufacturing,Capital Goods,EPack Prefab Technologies Limited
CUB,Private Banks,Financial Services,City Union Bank Limited
CARTRADE,E- Commerce,Consumer Services,Cartrade Tech Limited
NACLIND,Agro chemicals,Chemicals,NACL Industries Limited
NRAIL,Paper & Paper Products,Forest Materials,N R Agarwal Industries Limited
SALSTEEL,Iron & Steel,Metals & Mining,S.A.L. Steel Limited
LAURUSLABS,Medical-Diversified,Healthcare,Laurus Labs Limited
MTARTECH,Aerospace & Defense,Capital Goods,Mtar Technologies Limited
RBLBANK,Private Banks,Financial Services,RBL Bank Limited
LGBBROSLTD,Industrial Products & Manufacturing,Capital Goods,LG Balakrishnan & Bros Limited
PFOCUS,Media & Entertainment,Media Entertainment & Publication,Prime Focus Limited
WELINV,Asset Management,Financial Services,Welspun Investments and Commercials Limited
TFCILTD,Financial Services-Specialty,Financial Services,Tourism Finance Corporation of India Limited
TDPOWERSYS,Electrical - Power Equipment,Capital Goods,TD Power Systems Limited
PARAGMILK,Dairy Products,FMCG,Parag Milk Foods Limited
SOUTHBANK,Private Banks,Financial Services,The South Indian Bank Limited
UNITEDPOLY,Textiles,Textiles,United Polyfab Gujarat Limited
SOUTHWEST,Oil & Gas Drilling,"Oil, Gas & Consumable fuels",South West Pinnacle Exploration Limited
ABDL,Breweries & Distilleries,FMCG,Allied Blenders and Distillers Limited
UEL,Electrical - Power Equipment,Capital Goods,Ujaas Energy Limited
ROSSTECH,Aerospace & Defense,Capital Goods,Rossell Techsys Limited
BHARATSE,Auto Ancilaries,Auto,Bharat Seats Limited
TEAMGTY,NBFC,Financial Services,TEAM INDIA GUARANTY LIMITED
BSE,Financial Services-Specialty,Financial Services,BSE Limited
DELPHIFX,Investment Banking & Broking,Financial Services,DELPHI WORLD MONEY LIMITED
CANBK,PSU Banks,Financial Services,Canara Bank
HINDCOPPER,Mining/Minerals,Metals & Mining,Hindustan Copper Limited
GVT&D,Electrical - Power Equipment,Capital Goods,GE Vernova T&D India Limited
